Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",55.753000,-49.276000,270.000000,top
"C2","1uF","C_0603_1608Metric",55.753000,-44.958000,90.000000,top
"C3","56nF","C_0603_1608Metric",53.467000,-59.563000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",48.133000,-32.766000,180.000000,top
"C5","10nF","C_0603_1608Metric",46.355000,-41.148000,180.000000,top
"R1","10k","R_0603_1608Metric",46.990000,-55.880000,0.000000,top
"R2","10k","R_0603_1608Metric",47.004000,-59.436000,180.000000,top
"R3","16.5k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",53.467000,-55.880000,180.000000,top
"R4","10k","R_0603_1608Metric",53.975000,-36.322000,0.000000,top
"R5","10k","R_0603_1608Metric",53.975000,-39.370000,0.000000,top
"U2","TS5A3160","SOT-23-6",47.879000,-36.830000,0.000000,top
"U3","MCP6004","SOIC-14_3.9x8.7mm_P1.27mm",49.530000,-48.006000,180.000000,top
